12-10-2023 03:57:03|151|334
12-10-2023 03:57:03|255|552
12-10-2023 03:57:03|68|217
12-10-2023 03:57:04|974|227
12-10-2023 03:57:04|850|537
12-10-2023 03:57:04|671|168
12-10-2023 03:57:04|441|656
12-10-2023 03:57:04|313|38
12-10-2023 03:57:04|921|161
12-10-2023 03:57:04|359|56
12-10-2023 03:57:04|359|548
12-10-2023 03:57:04|829|400
12-10-2023 03:57:04|522|10
12-10-2023 03:57:04|751|357
12-10-2023 03:57:04|368|351
12-10-2023 03:57:04|365|829
12-10-2023 03:57:04|812|177
12-10-2023 03:57:04|158|909
12-10-2023 03:57:05|325|410
12-10-2023 03:57:05|32|937
12-10-2023 03:57:05|1013|804
12-10-2023 03:57:05|98|167
12-10-2023 03:57:05|916|638
12-10-2023 03:57:05|229|972
12-10-2023 03:57:05|34|976
12-10-2023 03:57:05|259|537
12-10-2023 03:57:05|675|1015
12-10-2023 03:57:05|731|663
12-10-2023 03:57:05|792|240
12-10-2023 03:57:05|906|283
12-10-2023 04:07:07|934|354
12-10-2023 04:07:07|959|52
12-10-2023 04:07:07|984|768
12-10-2023 04:07:08|914|974
12-10-2023 04:07:08|683|730
12-10-2023 04:07:08|803|803
12-10-2023 04:07:08|433|956
12-10-2023 04:07:08|409|223
12-10-2023 04:07:08|996|998
12-10-2023 04:08:48|305|612
12-10-2023 04:08:48|744|954
12-10-2023 04:08:48|908|1011
12-10-2023 04:10:05|987|223
12-10-2023 04:10:31|963|306
12-10-2023 04:10:31|432|285
12-10-2023 04:10:31|133|119
12-10-2023 04:12:07|962|909
12-10-2023 04:12:07|160|589
12-10-2023 04:12:07|928|433
12-10-2023 04:12:20|221|411
12-10-2023 04:12:20|1022|40
12-10-2023 04:12:20|180|870
12-10-2023 04:12:20|421|885
12-10-2023 04:12:20|200|43
12-10-2023 04:12:20|350|263
12-10-2023 01:16:02|966|975
12-10-2023 01:16:02|816|918
12-10-2023 01:16:02|66|321
12-10-2023 01:16:02|843|502
12-10-2023 01:16:02|892|341
12-10-2023 01:16:02|126|664
12-10-2023 01:16:02|371|398
12-10-2023 01:16:02|566|192
12-10-2023 01:16:02|941|780
12-10-2023 01:16:03|539|826
12-10-2023 01:16:03|6|288
12-10-2023 01:16:03|430|801
12-10-2023 01:16:03|418|922
12-10-2023 01:16:03|325|153
12-10-2023 01:16:03|37|495
12-10-2023 01:16:03|760|983
12-10-2023 01:16:03|954|756
12-10-2023 01:16:03|941|476
12-10-2023 01:16:03|913|523
12-10-2023 01:16:03|637|989
12-10-2023 01:16:03|672|766
12-10-2023 01:16:03|546|947
12-10-2023 01:16:03|846|911
12-10-2023 01:16:03|381|46
12-10-2023 01:16:03|335|43
12-10-2023 01:16:03|457|774
12-10-2023 01:16:03|124|607
12-10-2023 01:16:04|933|719
12-10-2023 01:16:04|342|265
12-10-2023 01:16:04|632|686
12-10-2023 01:16:04|732|162
12-10-2023 01:16:04|908|14
12-10-2023 01:16:04|992|135
12-10-2023 01:16:04|313|539
12-10-2023 01:16:04|126|728
12-10-2023 01:16:04|94|917
12-10-2023 01:16:04|843|42
12-10-2023 01:16:04|492|943
12-10-2023 01:16:04|575|566
